Clock,Servers,QueueSize,Processed,Blocked
[Cycle 268] Servers: 12, Queue: 284, Processed: 167, Blocked: 0
[Cycle 269] Servers: 12, Queue: 283, Processed: 169, Blocked: 0
[Cycle 270] Servers: 12, Queue: 284, Processed: 169, Blocked: 0
[Cycle 271] Servers: 12, Queue: 284, Processed: 169, Blocked: 0
[Cycle 272] Servers: 12, Queue: 284, Processed: 170, Blocked: 0
[Cycle 273] Servers: 12, Queue: 284, Processed: 171, Blocked: 0
[Cycle 274] Servers: 12, Queue: 285, Processed: 171, Blocked: 0
[Cycle 275] Servers: 12, Queue: 285, Processed: 172, Blocked: 0
[Cycle 276] Servers: 12, Queue: 284, Processed: 174, Blocked: 0
[Cycle 277] Servers: 12, Queue: 283, Processed: 176, Blocked: 0
[Cycle 278] Servers: 12, Queue: 284, Processed: 176, Blocked: 0
[Cycle 279] Servers: 12, Queue: 284, Processed: 176, Blocked: 0
[Cycle 280] Servers: 12, Queue: 285, Processed: 176, Blocked: 0
[Cycle 281] Servers: 12, Queue: 286, Processed: 176, Blocked: 0
[Cycle 282] Servers: 12, Queue: 286, Processed: 177, Blocked: 0
[Cycle 283] Servers: 12, Queue: 287, Processed: 177, Blocked: 0
[Cycle 284] Servers: 12, Queue: 287, Processed: 178, Blocked: 0
[Cycle 285] Servers: 12, Queue: 288, Processed: 178, Blocked: 0
[Cycle 286] Servers: 12, Queue: 289, Processed: 178, Blocked: 0
[Cycle 287] Servers: 12, Queue: 289, Processed: 179, Blocked: 0
[Cycle 288] Servers: 12, Queue: 287, Processed: 181, Blocked: 0
[Cycle 289] Servers: 12, Queue: 288, Processed: 181, Blocked: 0
[Cycle 290] Servers: 12, Queue: 289, Processed: 181, Blocked: 0
[Cycle 291] Servers: 12, Queue: 290, Processed: 181, Blocked: 0
[Cycle 292] Servers: 12, Queue: 289, Processed: 183, Blocked: 0
[Cycle 293] Servers: 12, Queue: 289, Processed: 184, Blocked: 0
[Cycle 294] Servers: 12, Queue: 289, Processed: 184, Blocked: 0
[Cycle 295] Servers: 12, Queue: 290, Processed: 184, Blocked: 0
[Cycle 296] Servers: 12, Queue: 290, Processed: 185, Blocked: 0
[Cycle 297] Servers: 12, Queue: 290, Processed: 185, Blocked: 0
[Cycle 298] Servers: 12, Queue: 289, Processed: 187, Blocked: 0
[Cycle 299] Servers: 12, Queue: 289, Processed: 188, Blocked: 0
[Cycle 300] Servers: 12, Queue: 289, Processed: 189, Blocked: 0
[Cycle 301] Servers: 12, Queue: 289, Processed: 190, Blocked: 0
[Cycle 302] Servers: 12, Queue: 289, Processed: 191, Blocked: 0
[Cycle 303] Servers: 12, Queue: 290, Processed: 191, Blocked: 0
[Cycle 304] Servers: 12, Queue: 290, Processed: 192, Blocked: 0
[Cycle 305] Servers: 12, Queue: 290, Processed: 193, Blocked: 0
[Cycle 306] Servers: 12, Queue: 291, Processed: 193, Blocked: 0
[Cycle 307] Servers: 12, Queue: 292, Processed: 193, Blocked: 0
[Cycle 308] Servers: 12, Queue: 293, Processed: 193, Blocked: 0
[Cycle 309] Servers: 12, Queue: 293, Processed: 194, Blocked: 0
[Cycle 310] Servers: 12, Queue: 293, Processed: 194, Blocked: 0
[Cycle 311] Servers: 12, Queue: 293, Processed: 195, Blocked: 0
[Cycle 312] Servers: 12, Queue: 291, Processed: 198, Blocked: 0
[Cycle 313] Servers: 12, Queue: 292, Processed: 198, Blocked: 0
[Cycle 314] Servers: 12, Queue: 293, Processed: 198, Blocked: 0
[Cycle 315] Servers: 12, Queue: 293, Processed: 198, Blocked: 0
[Cycle 316] Servers: 12, Queue: 294, Processed: 198, Blocked: 0
[Cycle 317] Servers: 12, Queue: 294, Processed: 198, Blocked: 0
[Cycle 318] Servers: 12, Queue: 294, Processed: 199, Blocked: 0
[Cycle 319] Servers: 12, Queue: 294, Processed: 200, Blocked: 0
[Cycle 320] Servers: 12, Queue: 295, Processed: 200, Blocked: 0
[Cycle 321] Servers: 12, Queue: 295, Processed: 201, Blocked: 0
[Cycle 322] Servers: 12, Queue: 296, Processed: 201, Blocked: 0
[Cycle 323] Servers: 12, Queue: 296, Processed: 202, Blocked: 0
[Cycle 324] Servers: 12, Queue: 296, Processed: 202, Blocked: 0
[Cycle 325] Servers: 12, Queue: 297, Processed: 202, Blocked: 0
[Cycle 326] Servers: 12, Queue: 298, Processed: 202, Blocked: 0
[Cycle 327] Servers: 12, Queue: 299, Processed: 202, Blocked: 0
[Cycle 328] Servers: 12, Queue: 297, Processed: 205, Blocked: 0
[Cycle 329] Servers: 12, Queue: 298, Processed: 205, Blocked: 0
[Cycle 330] Servers: 12, Queue: 299, Processed: 205, Blocked: 0
[Cycle 331] Servers: 12, Queue: 298, Processed: 207, Blocked: 0
[Cycle 332] Servers: 12, Queue: 298, Processed: 208, Blocked: 0
[Cycle 333] Servers: 12, Queue: 299, Processed: 208, Blocked: 0
[Cycle 334] Servers: 12, Queue: 300, Processed: 208, Blocked: 0
[Cycle 335] Servers: 12, Queue: 299, Processed: 210, Blocked: 0
[Cycle 336] Servers: 12, Queue: 300, Processed: 210, Blocked: 0
[Cycle 337] Servers: 13, Queue: 301, Processed: 210, Blocked: 0
[Cycle 338] Servers: 13, Queue: 300, Processed: 212, Blocked: 0
[Cycle 339] Servers: 13, Queue: 301, Processed: 212, Blocked: 0
[Cycle 340] Servers: 13, Queue: 302, Processed: 212, Blocked: 0
[Cycle 341] Servers: 13, Queue: 302, Processed: 213, Blocked: 0
[Cycle 342] Servers: 13, Queue: 302, Processed: 214, Blocked: 0
[Cycle 343] Servers: 13, Queue: 303, Processed: 214, Blocked: 0
[Cycle 344] Servers: 13, Queue: 302, Processed: 216, Blocked: 0
[Cycle 345] Servers: 13, Queue: 303, Processed: 216, Blocked: 0
[Cycle 346] Servers: 13, Queue: 303, Processed: 216, Blocked: 0
[Cycle 347] Servers: 13, Queue: 304, Processed: 216, Blocked: 0
[Cycle 348] Servers: 13, Queue: 305, Processed: 216, Blocked: 0
[Cycle 349] Servers: 13, Queue: 305, Processed: 217, Blocked: 0
[Cycle 350] Servers: 13, Queue: 306, Processed: 217, Blocked: 0
[Cycle 351] Servers: 13, Queue: 306, Processed: 218, Blocked: 0
